Topic Number,Play_Act,Latin Keywords,English Keywords,Themes,Topic Name
1,seneca-octavia_act2 (0.999),princeps,,,
1,seneca-octavia_act7 (0.999),subicio,,,
1,mussato-ecerinis_act2 (0.999),tyrannus,,,
1,seneca-octavia_act4 (0.994),homo,,,
1,mussato-ecerinis_act3 (0.785),uis,,,
1,,caesum,,,
1,,pietas,,,
1,,extinguo,,,
1,,penna,,,
1,,interimo,,,
2,seneca-troades_act3 (1.000),sentio,,,
2,seneca-hercules-furens_act3 (1.000),domo,,,
2,seneca-medea_act1 (0.999),opacus,,,
2,seneca-agamemnon_act4 (0.998),pes,,,
2,seneca-phoenissae_act3 (0.997),parricida,,,
2,,eruo,,,
2,,serus,,,
2,,uastus,,,
2,,uerbum,,,
2,,cassus,,,
3,seneca-phaedra_act1 (1.000),currus,,,
3,seneca-thyestes_act4 (0.999),muto,,,
3,seneca-phaedra_act4 (0.999),ara,,,
3,seneca-thyestes_act1 (0.999),fessus,,,
3,seneca-octavia_act5 (0.759),pius,,,
3,,fluctus,,,
3,,mico,,,
3,,cursus,,,
3,,facinus,,,
3,,amo,,,
4,seneca-agamemnon_act3 (1.000),ratis,,,
4,seneca-agamemnon_act2 (1.000),uentus,,,
4,seneca-troades_act4 (0.999),regius,,,
4,seneca-oedipus_act4 (0.999),classis,,,
4,mussato-ecerinis_act1 (0.999),iuuo,,,
4,,grex,,,
4,,soror,,,
4,,spes,,,
4,,tutus,,,
4,,iudex,,,
5,seneca-phaedra_act3 (0.999),iuvenes,,,
5,seneca-phaedra_act5 (0.150),peruerto,,,
5,seneca-octavia_act4 (0.000),castus,,,
5,seneca-octavia_act6 (0.000),aequoreus,,,
5,seneca-phoenissae_act2 (0.000),pudicus,,,
5,,sileo,,,
5,,sanctus,,,
5,,perennis,,,
5,,supernus,,,
5,,expromo,,,
6,seneca-oedipus_act3 (0.999),cognatus,,,
6,seneca-octavia_act4 (0.000),traha,,,
6,seneca-octavia_act6 (0.000),cornu,,,
6,seneca-phoenissae_act2 (0.000),sceptrum,,,
6,seneca-phoenissae_act3 (0.000),uallis,,,
6,,arbor,,,
6,,sono,,,
6,,sacerdos,,,
6,,annosus,,,
6,,agilis,,,
7,seneca-medea_act3 (0.999),exul,,,
7,seneca-medea_act2 (0.999),fuga,,,
7,seneca-troades_act5 (0.999),tutus,,,
7,seneca-agamemnon_act1 (0.999),murus,,,
7,mussato-ecerinis_act3 (0.214),reueho,,,
7,,puer,,,
7,,nepos,,,
7,,memoria,,,
7,,regius,,,
7,,mulceo,,,
8,seneca-hercules-oetaeus_act2 (1.000),astrum,,,
8,seneca-hercules-oetaeus_act4 (1.000),orbis,,,
8,seneca-hercules-oetaeus_act5 (1.000),nouerca,,,
8,seneca-hercules-furens_act4 (1.000),dextera,,,
8,seneca-thyestes_act5 (0.999),uirtus,,,
8,,perdo,,,
8,,nemus,,,
8,,uoltus,,,
8,,polus,,,
8,,sidus,,,
9,seneca-medea_act5 (0.999),affero,,,
9,seneca-phoenissae_act1 (0.174),inuitus,,,
9,seneca-octavia_act4 (0.000),discedo,,,
9,seneca-octavia_act6 (0.000),pietas,,,
9,seneca-phoenissae_act2 (0.000),facinus,,,
9,,dirigo,,,
9,,peruro,,,
9,,aequum,,,
9,,extraho,,,
9,,paeniteo,,,
