Topic Number,Tragedy,Latin Keywords,English Keywords,Themes,Topic Name
1,Thyestes (0.999),mensa,,,
1,Phoenissae (0.997),compono,,,
1,Phaedra (0.164),aspectus,,,
1,Hercules Furens (0.136),obsto,,,
1,Ecerinis (0.000),abscondo,,,
1,Ecerinis (0.000),cibus,,,
1,Ecerinis (0.000),abnuo,,,
1,Ecerinis (0.000),orno,,,
1,Ecerinis (0.000),hospitium,,,
1,Ecerinis (0.000),intactus,,,
2,Agamemnon (0.948),classis,,,
2,Phaedra (0.173),nuntius,,,
2,Phoenissae (0.000),remeo,,,
2,Ecerinis (0.000),niueus,,,
2,Octavia (0.000),pudicus,,,
2,Octavia (0.000),memini,,,
2,Octavia (0.000),lacero,,,
2,Octavia (0.000),furtiuus,,,
2,Octavia (0.000),grates,,,
2,Octavia (0.000),nescius,,,
3,Phoenissae (0.000),subiectus,,,
3,Ecerinis (0.000),iulius,,,
3,Octavia (0.000),puellaris,,,
3,Troades (0.000),propago,,,
3,Medea (0.000),servo,,,
3,Medea (0.000),adimo,,,
3,Medea (0.000),sollers,,,
3,Medea (0.000),ambitio,,,
3,Medea (0.000),ostento,,,
3,Medea (0.000),tremulus,,,
4,Oedipus (0.999),bos,,,
4,Troades (0.998),opimus,,,
4,Hercules Furens (0.372),uinclum,,,
4,Phaedra (0.328),cultus,,,
4,Phoenissae (0.000),classis,,,
4,Phoenissae (0.000),curuus,,,
4,Phoenissae (0.000),celo,,,
4,Phoenissae (0.000),bustum,,,
4,Phoenissae (0.000),torpeo,,,
4,Phoenissae (0.000),misereor,,,
5,Phoenissae (0.000),exclamo,,,
5,Ecerinis (0.000),afflicto,,,
5,Octavia (0.000),ornus,,,
5,Troades (0.000),gestio,,,
5,Medea (0.000),quaesitor,,,
5,Medea (0.000),ile,,,
5,Medea (0.000),linea,,,
5,Medea (0.000),adortus,,,
5,Medea (0.000),incruentus,,,
5,Medea (0.000),impietas,,,
6,Octavia (0.998),princeps,,,
6,Phoenissae (0.000),subicio,,,
6,Ecerinis (0.000),constituo,,,
6,Troades (0.000),suboles,,,
6,Medea (0.000),consensus,,,
6,Medea (0.000),extruo,,,
6,Medea (0.000),uolucer,,,
6,Medea (0.000),lacero,,,
6,Medea (0.000),porto,,,
6,Medea (0.000),incestus,,,
7,Hercules Oetaeus (0.999),uoltus,,,
7,Medea (0.998),uindico,,,
7,Ecerinis (0.998),uolucer,,,
7,Hercules Furens (0.491),axis,,,
7,Phaedra (0.334),inuado,,,
7,Phaedra (0.334),colus,,,
7,Phaedra (0.334),intendo,,,
7,Phaedra (0.334),glacialis,,,
7,Phaedra (0.334),ursa,,,
7,Phaedra (0.334),rigidus,,,
8,Phoenissae (0.000),conuexus,,,
8,Ecerinis (0.000),facultas,,,
8,Octavia (0.000),instigo,,,
8,Troades (0.000),labes,,,
8,Medea (0.000),saluo,,,
8,Medea (0.000),abscisus,,,
8,Medea (0.000),intonsus,,,
8,Medea (0.000),inspiro,,,
8,Medea (0.000),strepitus,,,
8,Medea (0.000),procrustes,,,
